accuracy,auroc,auprc,f1,sensitivity,specificity,tp,tn,fp,fn,lambda,mixing_mode,n_samples
0.738,0.984656,0.985368,0.792393,1.0,0.476,250,119,131,0,0.0,rms,500
0.72,0.956496,0.957321,0.78125,1.0,0.44,250,110,140,0,0.25,rms,500
0.732,0.944304,0.945281,0.787975,0.996,0.468,249,117,133,1,0.5,rms,500
0.75,0.93504,0.939702,0.8,1.0,0.5,250,125,125,0,1.0,rms,500
0.69,0.792656,0.785779,0.737733,0.872,0.508,218,127,123,32,5.0,rms,500
0.61,0.662752,0.65404,0.664372,0.772,0.448,193,112,138,57,10.0,rms,500
0.52,0.540032,0.555245,0.550562,0.588,0.452,147,113,137,103,25.0,rms,500
0.54,0.550096,0.541514,0.581818,0.64,0.44,160,110,140,90,50.0,rms,500
0.53,0.51056,0.500562,0.548944,0.572,0.488,143,122,128,107,75.0,rms,500
0.478,0.460464,0.465673,0.500956,0.524,0.432,131,108,142,119,100.0,rms,500
0.72,0.974336,0.977191,0.78125,1.0,0.44,250,110,140,0,0.0,paper,500
0.68,0.9532,0.959062,0.756839,0.996,0.364,249,91,159,1,0.25,paper,500
0.75,0.945552,0.945094,0.798712,0.992,0.508,248,127,123,2,0.5,paper,500
0.722,0.938592,0.941453,0.779715,0.984,0.46,246,115,135,4,1.0,paper,500
0.664,0.744608,0.761055,0.714286,0.84,0.488,210,122,128,40,5.0,paper,500
0.602,0.671408,0.66579,0.652705,0.748,0.456,187,114,136,63,10.0,paper,500
0.516,0.541104,0.522821,0.548507,0.588,0.444,147,111,139,103,25.0,paper,500
0.512,0.514192,0.500961,0.541353,0.576,0.448,144,112,138,106,50.0,paper,500
0.482,0.479408,0.502997,0.474645,0.468,0.496,117,124,126,133,75.0,paper,500
0.5,0.489792,0.489828,0.530075,0.564,0.436,141,109,141,109,100.0,paper,500
